AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CALLAO,CUSCO,EXTRANJERO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PIURA,PUNO,SAN MARTIN,SIN REGISTRO,TACNA,TUMBES,UCAYALI
4.0,47.0,9.0,36.0,15.0,23.0,50.0,38.0,2.0,14.0,12.0,32.0,45.0,50.0,13.0,528.0,7.0,3.0,2.0,6.0,47.0,23.0,17.0,1.0,4.0,9.0,12.0
3.0,37.0,13.0,32.0,24.0,25.0,52.0,27.0,0.0,9.0,12.0,36.0,32.0,69.0,22.0,507.0,19.0,7.0,2.0,8.0,45.0,30.0,15.0,2.0,9.0,13.0,19.0
3.0,50.0,10.0,45.0,11.0,37.0,43.0,31.0,1.0,16.0,18.0,29.0,29.0,60.0,11.0,479.0,19.0,4.0,3.0,6.0,46.0,34.0,18.0,0.0,2.0,11.0,14.0
2.0,43.0,10.0,27.0,14.0,32.0,52.0,28.0,2.0,12.0,15.0,32.0,29.0,58.0,20.0,488.0,17.0,5.0,5.0,6.0,53.0,27.0,10.0,0.0,7.0,12.0,13.0
11.0,29.0,21.0,29.0,21.0,26.0,38.0,29.0,3.0,6.0,13.0,20.0,28.0,68.0,21.0,501.0,13.0,9.0,3.0,6.0,54.0,41.0,23.0,0.0,6.0,5.0,9.0
4.0,35.0,12.0,35.0,20.0,24.0,55.0,26.0,2.0,22.0,8.0,28.0,35.0,63.0,16.0,495.0,25.0,5.0,0.0,6.0,57.0,25.0,17.0,0.0,5.0,11.0,10.0
4.0,40.0,16.0,32.0,21.0,26.0,44.0,32.0,0.0,8.0,11.0,24.0,44.0,61.0,26.0,502.0,18.0,7.0,3.0,8.0,41.0,34.0,14.0,2.0,7.0,8.0,14.0
2.0,41.0,15.0,25.0,22.0,33.0,49.0,41.0,1.0,17.0,13.0,38.0,42.0,73.0,13.0,491.0,16.0,7.0,5.0,4.0,50.0,21.0,19.0,0.0,2.0,6.0,16.0
4.0,44.0,9.0,40.0,14.0,26.0,46.0,26.0,1.0,13.0,8.0,30.0,42.0,66.0,20.0,481.0,18.0,9.0,1.0,7.0,53.0,29.0,23.0,0.0,2.0,11.0,21.0
2.0,46.0,11.0,31.0,21.0,31.0,39.0,30.0,0.0,5.0,10.0,35.0,24.0,71.0,23.0,526.0,10.0,9.0,4.0,4.0,46.0,21.0,25.0,1.0,13.0,5.0,12.0
3.0,56.0,14.0,39.0,18.0,44.0,51.0,42.0,2.0,9.0,16.0,35.0,32.0,66.0,27.0,501.0,7.0,5.0,3.0,9.0,56.0,25.0,18.0,0.0,8.0,8.0,20.0
3.0,38.0,10.0,33.0,22.0,39.0,52.0,42.0,3.0,19.0,13.0,35.0,32.0,62.0,16.0,519.0,13.0,7.0,2.0,4.0,60.0,28.0,18.0,1.0,2.0,11.0,21.0
3.0,47.0,10.0,27.0,18.0,37.0,49.0,34.0,1.0,20.0,15.0,33.0,40.0,52.0,26.0,490.0,21.0,4.0,4.0,10.0,64.0,30.0,21.0,2.0,3.0,14.0,8.0
3.0,51.0,17.0,26.0,21.0,32.0,51.0,33.0,1.0,12.0,11.0,29.0,44.0,70.0,25.0,503.0,20.0,4.0,2.0,4.0,62.0,31.0,28.0,1.0,6.0,8.0,19.0
2.0,55.0,13.0,27.0,14.0,25.0,44.0,40.0,2.0,9.0,12.0,30.0,35.0,72.0,34.0,488.0,12.0,3.0,5.0,6.0,56.0,30.0,23.0,1.0,10.0,16.0,15.0
3.0,44.0,13.0,25.0,12.0,36.0,44.0,31.0,4.0,12.0,14.0,39.0,39.0,74.0,24.0,512.0,16.0,5.0,2.0,9.0,59.0,34.0,18.0,0.0,6.0,14.0,15.0
6.0,37.0,12.0,26.0,14.0,29.0,45.0,34.0,2.0,14.0,14.0,27.0,36.0,66.0,29.0,495.0,9.0,8.0,2.0,4.0,65.0,28.0,21.0,1.0,6.0,8.0,16.0
4.0,44.0,7.0,29.0,12.0,28.0,54.0,46.0,2.0,7.0,10.0,32.0,39.0,82.0,23.0,501.0,11.0,5.0,5.0,9.0,68.0,25.0,26.0,1.0,4.0,10.0,12.0
5.0,47.0,11.0,31.0,13.0,39.0,49.0,43.0,1.0,14.0,21.0,36.0,41.0,83.0,30.0,497.0,7.0,5.0,0.0,4.0,76.0,34.0,17.0,0.0,8.0,10.0,10.0
5.0,49.0,14.0,28.0,17.0,42.0,52.0,46.0,1.0,9.0,12.0,51.0,44.0,59.0,26.0,542.0,19.0,7.0,1.0,5.0,85.0,27.0,25.0,1.0,3.0,5.0,10.0
4.0,44.0,12.0,26.0,13.0,36.0,59.0,47.0,3.0,14.0,13.0,23.0,28.0,70.0,32.0,534.0,13.0,1.0,1.0,6.0,72.0,30.0,19.0,1.0,8.0,7.0,24.0
4.0,46.0,15.0,51.0,12.0,26.0,71.0,32.0,1.0,13.0,8.0,42.0,36.0,83.0,22.0,505.0,10.0,5.0,3.0,3.0,51.0,24.0,24.0,0.0,2.0,15.0,15.0
3.0,45.0,12.0,37.0,18.0,30.0,38.0,44.0,5.0,12.0,11.0,45.0,36.0,70.0,35.0,500.0,7.0,9.0,1.0,2.0,69.0,29.0,21.0,0.0,9.0,9.0,13.0
4.0,59.0,15.0,34.0,16.0,27.0,61.0,40.0,3.0,9.0,15.0,33.0,50.0,86.0,32.0,516.0,8.0,5.0,5.0,7.0,73.0,21.0,19.0,1.0,9.0,7.0,12.0
4.0,51.0,16.0,23.0,16.0,24.0,41.0,28.0,0.0,8.0,13.0,42.0,41.0,80.0,29.0,472.0,15.0,1.0,2.0,9.0,62.0,25.0,14.0,2.0,7.0,3.0,7.0
